Labour market region (SA4): ASGS (2011),Month,Age,Sex,Unemployment rate (%)
Capital Region,2023/12/01,65 years and over,Females,4
Capital Region,2023/11/01,15-24 years,Males,6.3
Capital Region,2023/11/01,15-24 years,Females,5.6
Capital Region,2023/11/01,25-34 years,Males,2.1
Capital Region,2023/11/01,25-34 years,Females,1.6
Capital Region,2023/11/01,35-44 years,Males,1.3
Capital Region,2023/11/01,35-44 years,Females,1.7
Capital Region,2023/11/01,45-54 years,Males,1.9
Capital Region,2023/11/01,45-54 years,Females,1.7
Capital Region,2023/11/01,55-64 years,Males,1.4
Capital Region,2023/11/01,55-64 years,Females,2.3
Capital Region,2023/11/01,65 years and over,Males,1.2
Capital Region,2023/11/01,65 years and over,Females,3
Capital Region,2023/10/01,15-24 years,Males,7.2
Capital Region,2023/10/01,15-24 years,Females,6.4
Capital Region,2023/10/01,25-34 years,Males,2.5
Capital Region,2023/10/01,25-34 years,Females,2
Capital Region,2023/10/01,35-44 years,Males,1.5
Capital Region,2023/10/01,35-44 years,Females,1.9
Capital Region,2023/10/01,45-54 years,Males,2.3
Capital Region,2023/10/01,45-54 years,Females,2.1
Capital Region,2023/10/01,55-64 years,Males,1.7
Capital Region,2023/10/01,55-64 years,Females,2.8
Capital Region,2023/10/01,65 years and over,Males,1.5
Capital Region,2023/10/01,65 years and over,Females,2.6
Capital Region,2023/09/01,15-24 years,Males,6.2
Capital Region,2023/09/01,15-24 years,Females,5.6
Capital Region,2023/09/01,25-34 years,Males,2.2
Capital Region,2023/09/01,25-34 years,Females,1.8
Capital Region,2023/09/01,35-44 years,Males,1.4
Capital Region,2023/09/01,35-44 years,Females,1.8
Capital Region,2023/09/01,45-54 years,Males,2.1
Capital Region,2023/09/01,45-54 years,Females,1.9
Capital Region,2023/09/01,55-64 years,Males,1.5
Capital Region,2023/09/01,55-64 years,Females,2.6
Capital Region,2023/09/01,65 years and over,Males,1.3
Capital Region,2023/09/01,65 years and over,Females,1.6
Capital Region,2023/08/01,15-24 years,Males,6.5
Capital Region,2023/08/01,15-24 years,Females,6.1
Capital Region,2023/08/01,25-34 years,Males,2.4
Capital Region,2023/08/01,25-34 years,Females,2
Capital Region,2023/08/01,35-44 years,Males,1.5
Capital Region,2023/08/01,35-44 years,Females,2
Capital Region,2023/08/01,45-54 years,Males,2.2
Capital Region,2023/08/01,45-54 years,Females,2.1
Capital Region,2023/08/01,55-64 years,Males,1.7
Capital Region,2023/08/01,55-64 years,Females,2.8
Capital Region,2023/08/01,65 years and over,Males,1.4
Capital Region,2023/08/01,65 years and over,Females,1.3
Capital Region,2023/07/01,15-24 years,Males,6.7
Capital Region,2023/07/01,15-24 years,Females,6.3
Capital Region,2023/07/01,25-34 years,Males,2.4
Capital Region,2023/07/01,25-34 years,Females,2.1
Capital Region,2023/07/01,35-44 years,Males,1.6
Capital Region,2023/07/01,35-44 years,Females,1.9
Capital Region,2023/07/01,45-54 years,Males,2.2
Capital Region,2023/07/01,45-54 years,Females,2.1
Capital Region,2023/07/01,55-64 years,Males,1.8
Capital Region,2023/07/01,55-64 years,Females,2.7
Capital Region,2023/07/01,65 years and over,Males,1.4
Capital Region,2023/07/01,65 years and over,Females,1
Capital Region,2023/06/01,15-24 years,Males,5.9
Capital Region,2023/06/01,15-24 years,Females,5.6
Capital Region,2023/06/01,25-34 years,Males,2.1
Capital Region,2023/06/01,25-34 years,Females,2
Capital Region,2023/06/01,35-44 years,Males,1.5
Capital Region,2023/06/01,35-44 years,Females,1.7
Capital Region,2023/06/01,45-54 years,Males,2
Capital Region,2023/06/01,45-54 years,Females,1.9
Capital Region,2023/06/01,55-64 years,Males,1.7
Capital Region,2023/06/01,55-64 years,Females,2.4
Capital Region,2023/06/01,65 years and over,Males,1.3
Capital Region,2023/06/01,65 years and over,Females,0.7
Capital Region,2023/05/01,15-24 years,Males,5.1
Capital Region,2023/05/01,15-24 years,Females,4.9
Capital Region,2023/05/01,25-34 years,Males,1.8
Capital Region,2023/05/01,25-34 years,Females,1.8
Capital Region,2023/05/01,35-44 years,Males,1.3
Capital Region,2023/05/01,35-44 years,Females,1.5
Capital Region,2023/05/01,45-54 years,Males,1.8
Capital Region,2023/05/01,45-54 years,Females,1.7
Capital Region,2023/05/01,55-64 years,Males,1.6
Capital Region,2023/05/01,55-64 years,Females,1.9
Capital Region,2023/05/01,65 years and over,Males,1.2
Capital Region,2023/05/01,65 years and over,Females,0.6
Capital Region,2023/04/01,15-24 years,Males,6.5
Capital Region,2023/04/01,15-24 years,Females,6.4
Capital Region,2023/04/01,25-34 years,Males,2.3
Capital Region,2023/04/01,25-34 years,Females,2.2
Capital Region,2023/04/01,35-44 years,Males,1.7
Capital Region,2023/04/01,35-44 years,Females,1.9
Capital Region,2023/04/01,45-54 years,Males,2.4
Capital Region,2023/04/01,45-54 years,Females,2.1
Capital Region,2023/04/01,55-64 years,Males,2.1
Capital Region,2023/04/01,55-64 years,Females,2.2
Capital Region,2023/04/01,65 years and over,Males,1.5
Capital Region,2023/04/01,65 years and over,Females,0.7
Capital Region,2023/03/01,15-24 years,Males,5.7
Capital Region,2023/03/01,15-24 years,Females,5.9
Capital Region,2023/03/01,25-34 years,Males,2.1
Capital Region,2023/03/01,25-34 years,Females,2
Capital Region,2023/03/01,35-44 years,Males,1.5
Capital Region,2023/03/01,35-44 years,Females,1.7
Capital Region,2023/03/01,45-54 years,Males,2.2
Capital Region,2023/03/01,45-54 years,Females,2
Capital Region,2023/03/01,55-64 years,Males,1.9
Capital Region,2023/03/01,55-64 years,Females,1.8
Capital Region,2023/03/01,65 years and over,Males,1.4
Capital Region,2023/03/01,65 years and over,Females,0.6
Capital Region,2023/02/01,15-24 years,Males,5.5
Capital Region,2023/02/01,15-24 years,Females,5.9
Capital Region,2023/02/01,25-34 years,Males,2.1
Capital Region,2023/02/01,25-34 years,Females,2
Capital Region,2023/02/01,35-44 years,Males,1.5
Capital Region,2023/02/01,35-44 years,Females,1.6
Capital Region,2023/02/01,45-54 years,Males,2.1
Capital Region,2023/02/01,45-54 years,Females,2
Capital Region,2023/02/01,55-64 years,Males,1.9
Capital Region,2023/02/01,55-64 years,Females,1.8
Capital Region,2023/02/01,65 years and over,Males,1.3
Capital Region,2023/02/01,65 years and over,Females,0.7
Capital Region,2023/01/01,15-24 years,Males,6.1
Capital Region,2023/01/01,15-24 years,Females,6.7
Capital Region,2023/01/01,25-34 years,Males,2.4
Capital Region,2023/01/01,25-34 years,Females,2.5
Capital Region,2023/01/01,35-44 years,Males,1.8
Capital Region,2023/01/01,35-44 years,Females,1.7
Capital Region,2023/01/01,45-54 years,Males,2.3
Capital Region,2023/01/01,45-54 years,Females,2.2
Capital Region,2023/01/01,55-64 years,Males,2.2
Capital Region,2023/01/01,55-64 years,Females,2
Capital Region,2023/01/01,65 years and over,Males,1.5
Capital Region,2023/01/01,65 years and over,Females,0.7
Capital Region,2022/12/01,15-24 years,Males,5.7
Capital Region,2022/12/01,15-24 years,Females,6.1
Capital Region,2022/12/01,25-34 years,Males,2.1
Capital Region,2022/12/01,25-34 years,Females,2.5
Capital Region,2022/12/01,35-44 years,Males,1.7
Capital Region,2022/12/01,35-44 years,Females,1.6
Capital Region,2022/12/01,45-54 years,Males,2.1
Capital Region,2022/12/01,45-54 years,Females,2
Capital Region,2022/12/01,55-64 years,Males,2.1
Capital Region,2022/12/01,55-64 years,Females,1.9
Capital Region,2022/12/01,65 years and over,Males,1.4
Capital Region,2022/12/01,65 years and over,Females,0.8
Capital Region,2022/11/01,15-24 years,Males,5.6
Capital Region,2022/11/01,15-24 years,Females,6
Capital Region,2022/11/01,25-34 years,Males,2.1
Capital Region,2022/11/01,25-34 years,Females,2.6
Capital Region,2022/11/01,35-44 years,Males,1.7
Capital Region,2022/11/01,35-44 years,Females,1.7
Capital Region,2022/11/01,45-54 years,Males,2.1
Capital Region,2022/11/01,45-54 years,Females,2
Capital Region,2022/11/01,55-64 years,Males,2
Capital Region,2022/11/01,55-64 years,Females,1.9
Capital Region,2022/11/01,65 years and over,Males,1.4
Capital Region,2022/11/01,65 years and over,Females,1.1
Capital Region,2022/10/01,15-24 years,Males,5.6
Capital Region,2022/10/01,15-24 years,Females,6.1
Capital Region,2022/10/01,25-34 years,Males,2
Capital Region,2022/10/01,25-34 years,Females,2.6
Capital Region,2022/10/01,35-44 years,Males,1.9
Capital Region,2022/10/01,35-44 years,Females,1.9
Capital Region,2022/10/01,45-54 years,Males,2
Capital Region,2022/10/01,45-54 years,Females,2
Capital Region,2022/10/01,55-64 years,Males,2.1
Capital Region,2022/10/01,55-64 years,Females,1.8
Capital Region,2022/10/01,65 years and over,Males,1.4
Capital Region,2022/10/01,65 years and over,Females,1.1
Capital Region,2022/09/01,15-24 years,Males,5.2
Capital Region,2022/09/01,15-24 years,Females,5.5
Capital Region,2022/09/01,25-34 years,Males,1.7
Capital Region,2022/09/01,25-34 years,Females,2.3
Capital Region,2022/09/01,35-44 years,Males,1.8
