Labour market region (SA4): ASGS (2011),Month,Age,Sex,Sum of Participation rate (%)
Capital Region,2023/07/01,25-34 years,Females,83.63476557
Capital Region,2023/07/01,35-44 years,Males,90.72989261
Capital Region,2023/07/01,35-44 years,Females,86.99812249
Capital Region,2023/07/01,45-54 years,Males,86.07050645
Capital Region,2023/07/01,45-54 years,Females,81.9677366
Capital Region,2023/07/01,55-64 years,Males,67.97320537
Capital Region,2023/07/01,55-64 years,Females,64.39536337
Capital Region,2023/07/01,65 years and over,Males,18.88810884
Capital Region,2023/07/01,65 years and over,Females,11.05718959
Capital Region,2023/06/01,15-24 years,Males,80.77578331
Capital Region,2023/06/01,15-24 years,Females,76.75253481
Capital Region,2023/06/01,25-34 years,Males,93.65159054
Capital Region,2023/06/01,25-34 years,Females,84.21925497
Capital Region,2023/06/01,35-44 years,Males,91.18204033
Capital Region,2023/06/01,35-44 years,Females,87.26435594
Capital Region,2023/06/01,45-54 years,Males,86.2171039
Capital Region,2023/06/01,45-54 years,Females,82.53733554
Capital Region,2023/06/01,55-64 years,Males,67.44291305
Capital Region,2023/06/01,55-64 years,Females,64.73659228
Capital Region,2023/06/01,65 years and over,Males,19.12697937
Capital Region,2023/06/01,65 years and over,Females,11.07999672
Capital Region,2023/05/01,15-24 years,Males,81.64540501
Capital Region,2023/05/01,15-24 years,Females,77.16272936
Capital Region,2023/05/01,25-34 years,Males,93.62143778
Capital Region,2023/05/01,25-34 years,Females,84.91558953
Capital Region,2023/05/01,35-44 years,Males,91.44571633
Capital Region,2023/05/01,35-44 years,Females,87.1355301
Capital Region,2023/05/01,45-54 years,Males,86.2691562
Capital Region,2023/05/01,45-54 years,Females,82.76200864
Capital Region,2023/05/01,55-64 years,Males,67.04478452
Capital Region,2023/05/01,55-64 years,Females,64.64630289
Capital Region,2023/05/01,65 years and over,Males,18.70512422
Capital Region,2023/05/01,65 years and over,Females,10.99275187
Capital Region,2023/04/01,15-24 years,Males,82.1458654
Capital Region,2023/04/01,15-24 years,Females,77.09839306
Capital Region,2023/04/01,25-34 years,Males,93.4772342
Capital Region,2023/04/01,25-34 years,Females,84.92911511
Capital Region,2023/04/01,35-44 years,Males,91.46068413
Capital Region,2023/04/01,35-44 years,Females,86.70087014
Capital Region,2023/04/01,45-54 years,Males,86.20686172
Capital Region,2023/04/01,45-54 years,Females,82.94281505
Capital Region,2023/04/01,55-64 years,Males,66.06393058
Capital Region,2023/04/01,55-64 years,Females,64.14470547
Capital Region,2023/04/01,65 years and over,Males,18.27837709
Capital Region,2023/04/01,65 years and over,Females,10.82472233
Capital Region,2023/03/01,15-24 years,Males,81.97166963
Capital Region,2023/03/01,15-24 years,Females,77.36123372
Capital Region,2023/03/01,25-34 years,Males,93.43230191
Capital Region,2023/03/01,25-34 years,Females,84.78042724
Capital Region,2023/03/01,35-44 years,Males,91.45083059
Capital Region,2023/03/01,35-44 years,Females,86.19684935
Capital Region,2023/03/01,45-54 years,Males,86.02258383
Capital Region,2023/03/01,45-54 years,Females,83.23709821
Capital Region,2023/03/01,55-64 years,Males,65.15902924
Capital Region,2023/03/01,55-64 years,Females,63.57114811
Capital Region,2023/03/01,65 years and over,Males,18.00001547
Capital Region,2023/03/01,65 years and over,Females,10.75057304
Capital Region,2023/02/01,15-24 years,Males,82.35162084
Capital Region,2023/02/01,15-24 years,Females,78.38422295
Capital Region,2023/02/01,25-34 years,Males,93.80323346
Capital Region,2023/02/01,25-34 years,Females,84.78576437
Capital Region,2023/02/01,35-44 years,Males,91.75279882
Capital Region,2023/02/01,35-44 years,Females,85.80262902
Capital Region,2023/02/01,45-54 years,Males,86.26810519
Capital Region,2023/02/01,45-54 years,Females,84.23009016
Capital Region,2023/02/01,55-64 years,Males,65.36919661
Capital Region,2023/02/01,55-64 years,Females,63.87623077
Capital Region,2023/02/01,65 years and over,Males,18.55563223
Capital Region,2023/02/01,65 years and over,Females,11.05138742
Capital Region,2023/01/01,15-24 years,Males,81.87464982
Capital Region,2023/01/01,15-24 years,Females,77.99943399
Capital Region,2023/01/01,25-34 years,Males,93.63253974
Capital Region,2023/01/01,25-34 years,Females,83.77170736
Capital Region,2023/01/01,35-44 years,Males,91.45350273
Capital Region,2023/01/01,35-44 years,Females,84.76412135
Capital Region,2023/01/01,45-54 years,Males,85.88886007
Capital Region,2023/01/01,45-54 years,Females,84.19507019
Capital Region,2023/01/01,55-64 years,Males,64.46722625
Capital Region,2023/01/01,55-64 years,Females,62.76122678
Capital Region,2023/01/01,65 years and over,Males,18.20218552
Capital Region,2023/01/01,65 years and over,Females,10.62955322
Capital Region,2022/12/01,15-24 years,Males,82.14023712
Capital Region,2022/12/01,15-24 years,Females,79.27265859
Capital Region,2022/12/01,25-34 years,Males,94.02859896
Capital Region,2022/12/01,25-34 years,Females,84.53862737
Capital Region,2022/12/01,35-44 years,Males,91.99663093
Capital Region,2022/12/01,35-44 years,Females,85.57356912
Capital Region,2022/12/01,45-54 years,Males,86.59596789
Capital Region,2022/12/01,45-54 years,Females,85.56262006
Capital Region,2022/12/01,55-64 years,Males,66.14616549
Capital Region,2022/12/01,55-64 years,Females,63.89564236
Capital Region,2022/12/01,65 years and over,Males,19.43702484
Capital Region,2022/12/01,65 years and over,Females,11.23616411
Capital Region,2022/11/01,15-24 years,Males,80.47239742
Capital Region,2022/11/01,15-24 years,Females,78.50389818
